seg_id,date,speaker,n_words,orig_frac,p_ai
2025-10-24#t192w1,2025-10-24,Mr. Monahan,340,0.735,0.000246
2025-10-24#t192w2,2025-10-24,Mr. Monahan,171,1.0,0.000195
2025-10-24#t193w0,2025-10-24,Mr. Monahan,337,0.754,0.000169
2025-10-24#t193w1,2025-10-24,Mr. Monahan,339,0.655,0.000813
2025-10-24#t193w2,2025-10-24,Mr. Monahan,212,0.59,0.000208
2025-10-24#t194w0,2025-10-24,,357,1.0,0.000442
2025-10-24#t194w1,2025-10-24,,334,0.88,0.000252
2025-10-24#t195w0,2025-10-24,Mr. Doucet,338,0.033,0.000215
2025-10-24#t195w1,2025-10-24,Mr. Doucet,345,0.0,0.000191
2025-10-24#t195w2,2025-10-24,Mr. Doucet,226,0.668,0.000208
2025-10-24#t195w3,2025-10-24,Mr. Doucet,335,0.137,0.000186
2025-10-24#t195w4,2025-10-24,Mr. Doucet,320,0.0,0.996163
2025-10-24#t195w5,2025-10-24,Mr. Doucet,233,0.0,0.000205
2025-10-24#t195w6,2025-10-24,Mr. Doucet,354,0.0,0.000178
2025-10-24#t195w7,2025-10-24,Mr. Doucet,52,0.0,0.007985
2025-10-28#t197w0,2025-10-28,Hon. Mr. Finnigan,142,0.0,0.999144
2025-10-28#t198w0,2025-10-28,Mr. Cullins,138,1.0,0.910983
2025-10-28#t199w0,2025-10-28,Mr. Weir,177,0.949,0.000183
2025-10-28#t200w0,2025-10-28,Ms. Scott-Wallace,182,1.0,0.000182
2025-10-28#t201w0,2025-10-28,Ms. Wilcott,143,1.0,0.000171
2025-10-28#t202w0,2025-10-28,Ms. M. Wilson,136,1.0,0.28944
2025-10-28#t203w0,2025-10-28,Mr. Coon,149,0.973,0.000574
2025-10-28#t204w0,2025-10-28,Mr. Arseneault,158,0.418,0.008741
2025-10-28#t205w0,2025-10-28,Ms. Mitton,165,1.0,0.000173
2025-10-28#t206w0,2025-10-28,Mr. Johnston,184,0.94,0.000284
2025-10-28#t207w0,2025-10-28,Mr. Weir,146,1.0,0.000381
2025-10-28#t208w0,2025-10-28,Ms. Mitton,164,1.0,0.123391
2025-10-28#t209w0,2025-10-28,Mr. J. LeBlanc,158,0.222,0.000196
2025-10-28#t210w0,2025-10-28,Ms. Conroy,148,1.0,0.000173
2025-10-28#t211w0,2025-10-28,Ms. Vautour,141,0.0,0.039952
2025-10-28#t212w0,2025-10-28,Mr. Lee,173,1.0,0.0002
2025-10-28#t213w0,2025-10-28,Ms. Wilcott,172,1.0,0.000253
2025-10-28#t214w0,2025-10-28,Mr. Monahan,147,1.0,0.000199
2025-10-28#t215w0,2025-10-28,Mr. Bourque,167,0.503,0.000224
2025-10-28#t216w0,2025-10-28,Mr. Austin,144,1.0,0.000172
2025-10-28#t217w0,2025-10-28,Mr. Savoie,148,0.946,0.000173
2025-10-28#t218w0,2025-10-28,Hon. Mr. Kennedy,179,1.0,0.000454
2025-10-28#t219w0,2025-10-28,Mr. Savoie,143,0.958,0.970422
2025-10-28#t220w0,2025-10-28,Hon. Mr. Kennedy,198,1.0,0.000261
2025-10-28#t222w0,2025-10-28,Mr. Savoie,173,1.0,0.000238
2025-10-28#t223w0,2025-10-28,Hon. Mr. Kennedy,162,1.0,0.05432
2025-10-28#t224w0,2025-10-28,Mr. Savoie,101,1.0,0.000178
2025-10-28#t225w0,2025-10-28,Hon. Mr. Kennedy,192,1.0,0.00029
2025-10-28#t226w0,2025-10-28,Mr. Savoie,175,1.0,0.000178
2025-10-28#t227w0,2025-10-28,Hon. Mr. Kennedy,178,1.0,0.000207
2025-10-28#t228w0,2025-10-28,Mr. Savoie,188,1.0,0.000236
2025-10-28#t229w0,2025-10-28,Hon. Mr. Kennedy,186,1.0,0.000264
2025-10-28#t230w0,2025-10-28,Mr. Lee,150,1.0,0.000171
