seg_id,date,speaker,section,n_words,orig_frac,n_tok,logppl,xppl,score
2025-10-22#t49w0,2025-10-22,Hon. C. Johnson,Affordability and housing,108,1.0,134,2.65499,2.56477,1.03517
2025-10-22#t50w0,2025-10-22,Mr. Savoie,Affordability and housing,136,1.0,151,3.01059,3.12813,0.96242
2025-10-22#t51w0,2025-10-22,L’hon. C. Johnson,Affordability and housing,135,0.0,153,2.23483,2.49699,0.89501
2025-10-22#t52w0,2025-10-22,Mr. Savoie,Affordability and housing,148,1.0,193,2.66627,2.56558,1.03925
2025-10-22#t53w0,2025-10-22,Hon. C. Johnson,Affordability and housing,143,1.0,185,2.67427,2.46896,1.08316
2025-10-22#t54w0,2025-10-22,Mr. Savoie,Affordability and housing,184,1.0,223,2.62709,2.64491,0.99326
2025-10-22#t55w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,214,1.0,240,3.1135,3.1463,0.98958
2025-10-22#t56w0,2025-10-22,Mr. Savoie,Affordability and housing,174,1.0,212,2.70354,2.51035,1.07696
2025-10-22#t57w0,2025-10-22,Hon. C. Johnson,Affordability and housing,137,0.0,163,3.0418,2.94945,1.03131
2025-10-22#t58w0,2025-10-22,Mr. Savoie,Affordability and housing,102,1.0,121,2.44069,2.41609,1.01018
2025-10-22#t59w0,2025-10-22,Hon. C. Johnson,Affordability and housing,155,1.0,194,2.31517,2.20176,1.05151
2025-10-22#t60w0,2025-10-22,Mr. Coon,Affordability and housing,165,1.0,197,2.23599,2.33322,0.95833
2025-10-22#t61w0,2025-10-22,Hon. Mr. Dornan,Affordability and housing,111,1.0,128,2.93837,2.55309,1.1509
2025-10-22#t62w0,2025-10-22,Mr. Coon,Affordability and housing,127,0.0,155,2.46803,2.3117,1.06762
2025-10-22#t63w0,2025-10-22,Hon. Mr. Dornan,Affordability and housing,140,1.0,172,2.78272,2.76934,1.00483
2025-10-22#t64w0,2025-10-22,Ms. Mitton,Affordability and housing,141,1.0,174,2.72106,2.64431,1.02902
2025-10-22#t65w0,2025-10-22,Hon. Mr. Legacy,Affordability and housing,150,0.0,179,2.62188,2.79702,0.93738
2025-10-22#t66w0,2025-10-22,Ms. Mitton,Affordability and housing,163,1.0,203,2.97987,3.01806,0.98735
2025-10-22#t67w0,2025-10-22,Hon. Mr. Legacy,Affordability and housing,138,0.0,177,2.87223,2.87049,1.00061
2025-10-22#t68w0,2025-10-22,Mr. Savoie,Affordability and housing,76,1.0,97,2.91176,2.66522,1.09251
2025-10-22#t69w0,2025-10-22,Hon. C. Johnson,Affordability and housing,151,0.0,173,2.79656,2.697,1.03691
2025-10-22#t70w0,2025-10-22,Mr. Savoie,Affordability and housing,117,1.0,147,2.7839,2.82741,0.98461
2025-10-22#t71w0,2025-10-22,Hon. C. Johnson,Affordability and housing,98,1.0,124,2.69971,2.72723,0.98991
2025-10-22#t72w0,2025-10-22,Mr. Savoie,Affordability and housing,124,1.0,141,2.32858,2.43172,0.95759
2025-10-22#t73w0,2025-10-22,Hon. C. Johnson,Affordability and housing,119,1.0,141,3.06074,2.78865,1.09757
2025-10-22#t74w0,2025-10-22,Mr. Savoie,Affordability and housing,145,1.0,170,2.38946,2.3158,1.03181
2025-10-22#t75w0,2025-10-22,Hon. Ms. Holt,Affordability and housing,195,0.769,221,2.55575,2.53567,1.00792
2025-10-22#t78w0,2025-10-22,Mr. Johnston,Affordability and housing,109,0.881,149,2.76795,2.68936,1.02922
2025-10-22#t80w0,2025-10-22,Hon. Mr. Dornan,Affordability and housing,231,0.701,280,2.14229,2.30662,0.92876
2025-10-22#t81w0,2025-10-22,Mr. Savoie,Affordability and housing,291,1.0,350,2.30848,2.54876,0.90573
2025-10-22#t81w1,2025-10-22,Mr. Savoie,Affordability and housing,87,1.0,99,3.67467,3.71033,0.99039
2025-10-22#t82w0,2025-10-22,M. Coon,Affordability and housing,293,0.986,348,2.36979,2.42408,0.9776
2025-10-22#t83w0,2025-10-22,Hon. C. Johnson,Affordability and housing,141,0.39,168,2.23795,2.33042,0.96032
2025-10-22#t84w0,2025-10-22,Mr. Lee,Affordability and housing,163,1.0,194,2.55007,2.62383,0.97189
2025-10-22#t85w0,2025-10-22,Ms. Mitton,Affordability and housing,188,0.782,221,2.68995,2.70213,0.99549
2025-10-22#t86w0,2025-10-22,Hon. Mr. Randall,Affordability and housing,252,0.984,305,1.90476,1.98574,0.95922
2025-10-22#t87w0,2025-10-22,Ms. M. Wilson,Affordability and housing,191,1.0,248,2.18758,2.21218,0.98888
2025-10-22#t88w0,2025-10-22,Ms. Mitton,Affordability and housing,343,0.825,413,2.56409,2.44169,1.05013
2025-10-22#t89w0,2025-10-22,Ms. Scott-Wallace,Affordability and housing,207,1.0,243,2.46447,2.58998,0.95154
2025-10-22#t90w0,2025-10-22,Ms. Mitton,Affordability and housing,187,0.663,230,2.26976,2.30317,0.9855
2025-10-22#t91w0,2025-10-22,Hon. Mr. LePage,Affordability and housing,237,0.401,292,2.52757,2.42519,1.04221
2025-10-22#t92w0,2025-10-22,Ms. S. Wilson,Affordability and housing,200,1.0,253,2.27632,2.42922,0.93706
2025-10-22#t93w0,2025-10-22,Ms. Mitton,Affordability and housing,250,0.984,313,1.74565,1.95677,0.89211
2025-10-22#t94w0,2025-10-22,Hon. Mr. Hickey,Affordability and housing,281,0.829,332,2.76366,2.63265,1.04976
2025-10-22#t95w0,2025-10-22,Ms. Conroy,Affordability and housing,253,1.0,304,2.36032,2.37855,0.99234
2025-10-22#t97w0,2025-10-22,Mr. Coon,Affordability and housing,298,0.987,363,2.52671,2.38842,1.0579
2025-10-22#t98w0,2025-10-22,Ms. Mitton,Affordability and housing,290,0.931,366,2.67547,2.66974,1.00214
2025-10-22#t100w0,2025-10-22,Madam Speaker,Affordability and housing,186,0.86,244,2.2093,2.23551,0.98827
