seg_id,date,speaker,n_words,orig_frac,n_tok,logppl,fastdetect_d,lrr
2025-10-24#t176w3,2025-10-24,Ms. Mitton,285,0.582,342,2.59826,-0.46466,2.06317
2025-10-24#t177w0,2025-10-24,Ms. Scott-Wallace,325,1.0,406,2.46325,-1.45311,2.06891
2025-10-24#t177w1,2025-10-24,Ms. Scott-Wallace,299,1.0,360,2.72253,-0.48753,2.06895
2025-10-24#t178w0,2025-10-24,Ms. Mitton,300,0.747,355,2.1473,-0.70063,2.17545
2025-10-24#t178w1,2025-10-24,Ms. Mitton,329,0.988,388,2.16143,2.8404,2.12929
2025-10-24#t179w0,2025-10-24,Mr. Russell,268,1.0,316,2.40972,1.6705,2.13429
2025-10-24#t179w1,2025-10-24,Mr. Russell,356,0.764,445,2.18845,-0.00663,2.07116
2025-10-24#t179w2,2025-10-24,Mr. Russell,348,1.0,423,2.37498,-0.56963,2.06072
2025-10-24#t179w3,2025-10-24,Mr. Russell,184,0.978,230,2.53912,0.74807,1.99938
2025-10-24#t180w0,2025-10-24,Madam Speaker,299,0.91,393,2.3925,-0.17332,2.03722
2025-10-24#t180w1,2025-10-24,Madam Speaker,300,1.0,389,2.42226,0.69245,2.07062
2025-10-24#t180w2,2025-10-24,Madam Speaker,290,0.828,395,2.41081,-0.33645,2.02049
2025-10-24#t180w3,2025-10-24,Madam Speaker,325,0.8,439,2.66402,-0.92079,1.9782
2025-10-24#t180w4,2025-10-24,Madam Speaker,287,1.0,359,2.56926,0.51554,2.01372
2025-10-24#t180w5,2025-10-24,Madam Speaker,251,1.0,322,2.49259,1.10812,1.97411
2025-10-24#t180w6,2025-10-24,Madam Speaker,352,1.0,417,2.87945,-1.24217,2.0015
2025-10-24#t180w7,2025-10-24,Madam Speaker,332,0.828,425,2.81651,-0.65245,1.96984
2025-10-24#t180w8,2025-10-24,Madam Speaker,346,1.0,425,2.57704,0.70789,2.06197
2025-10-24#t180w9,2025-10-24,Madam Speaker,322,1.0,396,2.74685,0.01722,2.052
2025-10-24#t180w10,2025-10-24,Madam Speaker,286,1.0,342,2.55357,1.70189,2.00054
2025-10-24#t180w11,2025-10-24,Madam Speaker,336,0.81,429,2.5076,1.74347,2.04095
2025-10-24#t180w12,2025-10-24,Madam Speaker,226,0.783,283,2.8026,-0.75473,1.93965
2025-10-24#t180w13,2025-10-24,Madam Speaker,321,1.0,394,2.55716,0.54969,2.02617
2025-10-24#t180w14,2025-10-24,Madam Speaker,330,0.855,407,2.68498,0.26012,1.99173
2025-10-24#t180w15,2025-10-24,Madam Speaker,216,0.81,251,2.82379,0.2214,1.97751
